id,exercise_name,muscle_group,equipment
527,Dumbbell Incline Hammer Curl,Biceps,Dumbbell
528,Dumbbell Incline Alternating Hammer Curl,Biceps,Dumbbell
529,Dumbbell Alternating Tricep Extension,Triceps,Dumbbell
530,Dumbbell Wrist Curl (Neutral Grip),Forearms,Dumbbell
531,Kettlebell Renegade Row,Back,Kettlebell
532,Chest and Shoulder Stretch,Chest,Other
533,Dumbbell Seated Single-Leg Calf Raise,Lower Legs,Dumbbell
534,Toe Touch Stretch,Upper Legs,Body Weight
535,Dumbbell Alternating Arnold Press,Shoulders,Dumbbell
536,Barbell Tricep Press (Supine),Triceps,Barbell
537,EZ Bar Bent-Over Row (Reverse Grip),Back,EZ Curl Bar
538,Straddle Stretch,Upper Legs,Body Weight
539,Hanging Knee Raise Rotation,Abs,Pullup Bar
540,Cable Seated Row to Neck,Shoulders,Strength Machine
541,Alternating Floor Leg Raise,Abs,Body Weight
542,Plank with Shoulder Taps,Abs,Body Weight
543,Cable Incline Pulldown (Supine),Back,Strength Machine
544,Barbell Seated Twist,Abs,Barbell
545,Cable Rotation (Stability Ball),Abs,Strength Machine
546,Cable Bicep Curl (Supine),Biceps,Strength Machine
547,Dumbbell Reverse Wrist Curl,Forearms,Dumbbell
548,Dumbbell One-Arm Reverse Curl,Forearms,Dumbbell
549,Dumbbell Cross Tricep Extension (Supine),Triceps,Dumbbell
550,Kettlebell One-Arm Row,Back,Kettlebell
551,Downward Facing Dog,Abs,Body Weight
552,Dumbbell Single-Leg Squat,Upper Legs,Dumbbell
553,Barbell Seated Good Morning,Back,Barbell
554,Weight Plate Neck Extension (Prone),Shoulders,Weight Plate
555,Barbell Zercher Squat,Upper Legs,Barbell
556,Dumbbell Alternating Press,Shoulders,Dumbbell
557,Cable Crunch Kneeling Rotation,Abs,Strength Machine
558,Dumbbell Tricep Extension (Supine),Triceps,Dumbbell
559,EZ Bar Seated Curl (Close Grip),Biceps,EZ Curl Bar
560,Dumbbell Seated Alternating Arnold Press,Shoulders,Dumbbell
561,Dumbbell Rotational Row,Back,Dumbbell
562,Barbell Step-Up,Upper Legs,Barbell
563,Barbell Tricep Press (Close Grip),Triceps,Barbell
564,Dumbbell Single-Leg Cobra,Abs,Dumbbell
565,Standing Trunk Rotation,Back,Body Weight
566,Dumbbell One-Arm Incline Chest Press,Chest,Dumbbell
567,Dumbbell One-Arm Incline Curl,Biceps,Dumbbell
568,Smith Machine Front Squat,Upper Legs,Strength Machine
569,Abdominal Hip Roll,Abs,Body Weight
570,Dumbbell Seated Dublin Press,Shoulders,Dumbbell
571,Cable One-Arm Reverse Curl,Forearms,Strength Machine
572,Hamstring Stretch,Upper Legs,Body Weight
573,Stability Ball Dumbbell Sit-Up,Abs,Exercise Ball
574,Cable Seated Bicep Curl,Biceps,Strength Machine
575,Dumbbell Seated Front Raise (Hammer),Shoulders,Dumbbell
576,Leg Swing,Upper Legs,Body Weight
577,Back Extension (Prone),Back,Body Weight
578,Side Step-Up,Upper Legs,Bench
579,Barbell Reverse Bench Press (Wide Grip),Chest,Barbell
580,Barbell Landmine Kneeling One-Arm Press,Shoulders,Barbell
581,Band Shoulder Press,Shoulders,Bands
582,Weight Plate Hand Squeeze,Forearms,Weight Plate
583,Upward Facing Dog,Back,Body Weight
584,Cable Wrist Curl (Reverse Grip),Forearms,Strength Machine
585,Trap Bar Shrugs,Back,
586,Reverse Lunge Crossover,Back,Body Weight
587,Kettlebell One-Arm Snatch,Shoulders,Kettlebell
588,Decline Reverse Crunch,Abs,Bench
589,Dumbbell Seated One-Arm Supported Tricep Extension,Triceps,Dumbbell
590,Ab Roll,Abs,Body Weight
591,Cable Decline Press,Chest,Strength Machine
592,Stability Ball Weighted Sit-Up,Abs,Exercise Ball
593,Cable One-Arm Rotational Row,Back,Strength Machine
594,Dumbbell Alternating Lateral Raise,Shoulders,Dumbbell
595,Wide Leg Stretch,Abs,Body Weight
596,Crunch with Hands Overhead,Abs,Body Weight
597,Lateral Stretch,Abs,Body Weight
598,Barbell Kneeling Squat,Glutes,Barbell
599,Alternating Leg Bridge,Abs,Body Weight
600,Kneeling Forearm Stretch,Forearms,Body Weight
601,Field Sports,Cardio,Other
602,Smith Machine Bench Press (Wide Grip),Chest,Strength Machine
603,Box Jumps,Upper Legs,
604,Cable One-Arm Preacher Curl,Biceps,Strength Machine
605,Assisted Hyperextension,Back,Body Weight
606,Cable Lying Tricep Extension,Triceps,Strength Machine
607,Barbell Side Split Squat,Upper Legs,Barbell
608,Barbell Hang Clean,Upper Legs,Barbell
609,Cable Rope Seated Crossover Row,Back,Strength Machine
610,Dumbbell Decline Bench Lunge,Upper Legs,Dumbbell
611,Dumbbell One-Arm Tricep Kickback,Triceps,Dumbbell
612,Band Squat,Upper Legs,Bands
613,Dumbbell Lateral Raise (Side-Lying),Shoulders,Dumbbell
614,Side Jacknife,Abs,Body Weight
615,Dumbbell Lateral Lunge with Bicep Curl,Upper Legs,Dumbbell
616,Kettlebell Alternating Shoulder Press,Shoulders,Kettlebell
617,Smith Machine Toe Raise,Lower Legs,Strength Machine
618,Dynamic Back Stretch,Back,Body Weight
619,Cable Incline Tricep Extension,Triceps,Strength Machine
620,Windshield Wipers,Abs,Pullup Bar
621,Barbell Snatch Deadlift,Back,Barbell
622,Band Upright Row,Shoulders,Bands
623,Cross-Leg Side Stretch (Supine),Abs,Body Weight
624,Barbell Overhead Front Raise,Shoulders,Barbell
625,Hip Adduction,Glutes,Body Weight
626,Cable One-Arm Tricep Extension,Triceps,Strength Machine
627,Kettlebell Alternating Floor Press,Chest,Kettlebell
628,Back Bend,Chest,Body Weight
629,Decline Oblique Crunch,Abs,Bench
630,Cable Tricep Kickback (Reverse Grip),Triceps,Strength Machine
631,Leg Raise with Hip Thrust,Abs,Bench
632,Ab Draw Leg Slide,Abs,Body Weight
633,Back Stretch,Back,Body Weight
634,Cable Seated Shoulder Press,Shoulders,Strength Machine
635,Kettlebell Windmill,Abs,Kettlebell
636,Dumbbell Concentration Curl on Stability Ball,Biceps,Dumbbell
637,Hanging Pike,Abs,Pullup Bar
638,Plank with Alternating Knee Drive,Abs,Body Weight
639,Cable Seated Overhead Curl,Biceps,Strength Machine
